T¡tulo;Descripci¢n;Regal¡a;Precio;Ahora;Marca;Tienda;Linea;Fecha Inicio;Fecha Final;Codigo;Imagen
***************PRUEBA*******************;0501050014 LLANTA R14 BRIDGESTONE 185*65R14POTENZAGIII;;36670;33000;BRIDGESTONE;2;7;05/05/2016;05/05/2016;501050014;0501050014.JPG
***************PRUEBA*******************;0501060336 LLANTA R15 KUMHO 185*65R15 KH25;;32500;29250;KUMHO;2;7;05/05/2016;05/05/2016;501060336;0501060336.JPG
***************PRUEBA*******************;0530010007 BATERIA P/CARRO ROCKET N50;;70900;55460;ROCKET;2;7;05/05/2016;05/05/2016;530010007;0530010007.JPG
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
